Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Identifier	Event value	Event message
1701804734954	t	clothingstore_testcue_lobby_left	0.0	1	0	5.8049	944.64	861.4399999999999	1.0	5.5998	1010.304	1042.3999999999999	1.0	-0.1904	-0.0235	0.9814	-4.2818	2.0031	-36.9232	0.0	8	1.0	0.0		3878	0	0
1701804734963	t	clothingstore_testcue_lobby_left	0.0	1	0	5.9014	946.944	863.68	1.0	5.6105	1010.304	1042.3999999999999	1.0	-0.1963	-0.0303	0.9801	-12.7772	1.7776	-37.4872	0.0	8	1.0	0.0		3878	0	0
1701804734971	t	clothingstore_testcue_lobby_left	0.0	1	0	5.7685	935.856	861.12	1.0	5.6125	1002.2399999999999	1041.6000000000001	1.0	-0.1825	-0.0457	0.9821	-30.4311	1.4049	-38.8601	0.0	8	1.0	0.0		3878	0	0
1701804734979	t	clothingstore_testcue_lobby_left	0.0	1	0	5.8313	923.184	853.5999999999999	1.0	5.5368	989.712	1033.92	1.0	-0.1711	-0.0336	0.9847	-33.6452	1.3726	-39.112	0.0	8	1.0	0.0		3878	0	0
1701804734988	t	clothingstore_testcue_lobby_left	0.0	1	0	5.748	909.2159999999999	853.28	1.0	5.6427	972.8639999999999	1028.48	1.0	-0.1391	-0.0285	0.9899	-33.8976	1.4036	-39.0991	0.0	8	1.0	0.0		3878	0	0
1701804734996	t	clothingstore_testcue_lobby_left	0.0	1	0	5.7397	900.5759999999999	843.52	1.0	5.6514	958.608	1021.4399999999999	1.0	-0.112	-0.0214	0.9935	-33.759	1.4682	-39.073	0.0	8	1.0	0.0		3878	0	0
1701804735004	t	clothingstore_testcue_lobby_left	0.0	1	0	5.7158	897.264	844.96	1.0	5.6681	957.888	1020.64	1.0	-0.1161	-0.0206	0.993	-33.7338	1.4731	-39.055	0.0	8	1.0	0.0		3878	0	0
1701804735013	t	clothingstore_testcue_lobby_left	0.0	1	0	5.6921	898.416	846.88	1.0	5.6694	955.872	1019.52	1.0	-0.1075	-0.0178	0.994	-33.7472	1.4749	-39.0494	0.0	8	1.0	0.0		3878	0	0
1701804735021	t	clothingstore_testcue_lobby_left	0.0	1	0	5.7111	899.712	845.76	1.0	5.6407	958.4639999999999	1019.52	1.0	-0.1155	-0.0159	0.9932	-33.7672	1.4695	-39.0587	0.0	8	1.0	0.0		3878	0	0
1701804735029	t	clothingstore_testcue_lobby_left	0.0	1	0	5.691	898.992	845.5999999999999	1.0	5.7016	959.0400000000001	1018.0799999999999	1.0	-0.1155	-0.0098	0.9932	-33.7962	1.4679	-39.0656	0.0	8	1.0	0.0		3878	0	0
1701804735038	t	clothingstore_testcue_lobby_left	0.0	1	0	5.7132	898.56	845.5999999999999	1.0	5.657	958.032	1018.5600000000001	1.0	-0.1112	-0.012	0.9937	-33.82	1.4671	-39.0635	0.0	8	1.0	0.0		3878	0	0
1701804735046	t	clothingstore_testcue_lobby_left	0.0	1	0	5.6915	898.848	845.76	1.0	5.621	957.024	1018.8800000000001	1.0	-0.1067	-0.0142	0.9942	-33.8342	1.4664	-39.0607	0.0	8	1.0	0.0		3878	0	0
1701804735054	t	clothingstore_testcue_lobby_left	0.0	1	0	5.6971	898.704	845.5999999999999	1.0	5.6592	958.032	1019.0400000000001	1.0	-0.1094	-0.0142	0.9939	-33.7291	1.468	-39.051	0.0	8	1.0	0.0		3878	0	0
1701804735063	t	clothingstore_testcue_lobby_left	0.0	1	0	5.692	898.848	845.5999999999999	1.0	5.6922	958.3199999999999	1018.8800000000001	1.0	-0.1091	-0.0118	0.994	-31.5232	1.5178	-38.8884	0.0	8	1.0	0.0		3878	0	0
1701804735071	t	clothingstore_testcue_lobby_left	0.0	1	0	5.6976	898.848	845.5999999999999	1.0	5.685	958.4639999999999	1019.0400000000001	1.0	-0.104	0.0053	0.9946	-4.8482	2.1278	-36.9463	0.0	8	1.0	0.0		3878	0	0
1701804735079	t	clothingstore_testcue_lobby_left	0.0	1	0	5.7035	898.992	845.5999999999999	1.0	5.6775	958.3199999999999	1019.36	1.0	-0.1036	0.0049	0.9946	-5.0	2.1246	-36.9577	0.0	8	1.0	0.0		3878	0	0
1701804735088	t	clothingstore_testcue_lobby_left	0.0	1	0	5.7097	899.136	845.5999999999999	1.0	5.6688	958.4639999999999	1019.36	1.0	-0.1037	0.0057	0.9946	-3.5671	2.1576	-36.8543	0.0	8	1.0	0.0		3878	0	0
1701804735096	t	clothingstore_testcue_lobby_left	0.0	1	0	5.7035	899.136	845.5999999999999	1.0	5.6595	958.3199999999999	1019.36	1.0	-0.1032	0.0059	0.9946	-3.0801	2.1688	-36.8175	0.0	8	1.0	0.0		3878	0	0
1701804735104	t	clothingstore_testcue_lobby_left	0.0	1	0	5.7102	898.992	845.5999999999999	1.0	5.6578	958.3199999999999	1019.36	1.0	-0.1027	0.0063	0.9947	-2.5874	2.18	-36.7809	0.0	8	1.0	0.0		3878	0	0
1701804735113	t	clothingstore_testcue_lobby_left	0.0	1	0	5.7167	899.136	845.5999999999999	1.0	5.6593	958.3199999999999	1019.36	1.0	-0.1029	0.0061	0.9947	-2.7419	2.1765	-36.7915	0.0	8	1.0	0.0		3878	0	0
1701804735121	t	clothingstore_testcue_lobby_left	0.0	1	0	5.717	899.136	845.4399999999999	1.0	5.6572	958.4639999999999	1019.52	1.0	-0.1031	0.0059	0.9946	-2.7653	2.176	-36.7936	0.0	8	1.0	0.0		3878	0	0
1701804735129	t	clothingstore_testcue_lobby_left	0.0	1	0	5.7169	899.136	845.4399999999999	1.0	5.6593	958.608	1019.36	1.0	-0.1033	0.0063	0.9946	-2.8458	2.1741	-36.7998	0.0	8	1.0	0.0		3878	0	0
1701804735138	t	clothingstore_testcue_lobby_left	0.0	1	0	5.7103	899.136	845.4399999999999	1.0	5.6593	958.608	1019.52	1.0	-0.1033	0.0061	0.9946	-2.7393	2.1765	-36.7919	0.0	8	1.0	0.0		3878	0	0
1701804735146	t	clothingstore_testcue_lobby_left	0.0	1	0	5.7099	899.2800000000001	845.28	1.0	5.6582	958.608	1019.8399999999999	1.0	-0.1034	0.0059	0.9946	-2.6893	2.1777	-36.7882	0.0	8	1.0	0.0		3878	0	0
1701804735154	t	clothingstore_testcue_lobby_left	0.0	1	0	5.7175	899.2800000000001	845.28	1.0	5.6547	958.608	1019.8399999999999	1.0	-0.1037	0.0061	0.9946	-2.7314	2.1766	-36.7906	0.0	8	1.0	0.0		3878	0	0
1701804735163	t	clothingstore_testcue_lobby_left	0.0	1	0	5.711	899.4240000000001	845.28	1.0	5.6581	958.752	1019.8399999999999	1.0	-0.1039	0.006	0.9946	-2.6422	2.1785	-36.7838	0.0	8	1.0	0.0		3878	0	0
1701804735171	t	clothingstore_testcue_lobby_left	0.0	1	0	5.711	899.5680000000001	845.28	1.0	5.659	958.8960000000001	1019.9999999999999	1.0	-0.1043	0.0059	0.9945	-2.6124	2.1789	-36.7813	0.0	8	1.0	0.0		3878	0	0
1701804735179	t	clothingstore_testcue_lobby_left	0.0	1	0	5.7173	899.5680000000001	845.28	1.0	5.6587	958.8960000000001	1019.9999999999999	1.0	-0.1045	0.0057	0.9945	-2.6775	2.1764	-36.7855	0.0	8	1.0	0.0		3878	0	0
1701804735187	t	clothingstore_testcue_lobby_left	0.0	1	0	5.7175	899.5680000000001	845.28	1.0	5.6585	958.8960000000001	1020.32	1.0	-0.1046	0.0057	0.9945	-2.6735	2.1754	-36.7852	0.0	8	1.0	0.0		3878	0	0
1701804735196	t	clothingstore_testcue_lobby_left	0.0	1	0	5.7175	899.5680000000001	845.28	1.0	5.6586	959.328	1020.32	1.0	-0.1053	0.0064	0.9944	-2.6407	2.173	-36.7827	0.0	8	1.0	0.0		3878	0	0
1701804735204	t	clothingstore_testcue_lobby_left	0.0	1	0	5.7106	899.5680000000001	845.28	1.0	5.6594	959.76	1020.32	1.0	-0.1058	0.0066	0.9944	-2.6479	2.1718	-36.7825	0.0	8	1.0	0.0		3878	0	0
1701804735213	t	clothingstore_testcue_lobby_left	0.0	1	0	5.71	899.712	845.28	1.0	5.6642	960.1919999999999	1020.32	1.0	-0.1064	0.0065	0.9943	-2.9601	2.1635	-36.804	0.0	8	1.0	0.0		3878	0	0
1701804735220	t	clothingstore_testcue_lobby_left	0.0	1	0	5.7101	900.0	845.28	1.0	5.6655	960.1919999999999	1020.48	1.0	-0.107	0.0064	0.9942	-2.9293	2.1632	-36.7999	0.0	8	1.0	0.0		3878	0	0
1701804735229	t	clothingstore_testcue_lobby_left	0.0	1	0	5.6998	900.288	845.5999999999999	1.0	5.6732	960.1919999999999	1020.48	1.0	-0.107	0.0065	0.9942	-2.762	2.1656	-36.787	0.0	8	1.0	0.0		3878	0	0
1701804735237	t	clothingstore_testcue_lobby_left	0.0	1	0	5.7004	900.288	845.5999999999999	1.0	5.6745	960.768	1020.48	1.0	-0.1078	0.0063	0.9941	-2.9983	2.159	-36.7989	0.0	8	1.0	0.0		3878	0	0
1701804735245	t	clothingstore_testcue_lobby_left	0.0	1	0	5.6957	900.288	846.24	1.0	5.6826	960.768	1020.48	1.0	-0.1073	0.0049	0.9942	-3.1921	2.1537	-36.8108	0.0	8	1.0	0.0		3878	0	0
1701804735254	t	clothingstore_testcue_lobby_left	0.0	1	0	5.6971	900.864	846.24	1.0	5.7003	961.056	1020.64	1.0	-0.1083	0.004	0.9941	-4.2249	2.125	-36.8688	0.0	8	1.0	0.0		3878	0	0
1701804735262	t	clothingstore_testcue_lobby_left	0.0	1	0	5.6976	901.008	846.24	1.0	5.7003	961.632	1020.48	1.0	-0.1097	0.0038	0.994	-5.277	2.0997	-36.942	0.0	8	1.0	0.0		3878	0	0
1701804735270	t	clothingstore_testcue_lobby_left	0.0	1	0	5.6983	901.008	846.24	1.0	5.701	961.632	1020.48	1.0	-0.1094	0.003	0.994	-6.6569	2.0662	-37.0378	0.0	8	1.0	0.0		3878	0	0
1701804735279	t	clothingstore_testcue_lobby_left	0.0	1	0	5.6995	901.008	846.24	1.0	5.7015	961.9200000000001	1020.48	1.0	-0.11	0.0017	0.9939	-8.3352	2.0264	-37.1501	0.0	8	1.0	0.0		3878	0	0
1701804735287	t	clothingstore_testcue_lobby_left	0.0	1	0	5.6999	901.008	846.24	1.0	5.7011	961.7760000000001	1020.48	1.0	-0.1096	0.0007	0.994	-9.2711	2.0054	-37.2143	0.0	8	1.0	0.0		3878	0	0
1701804735296	t	clothingstore_testcue_lobby_left	0.0	1	0	5.7092	901.152	846.24	1.0	5.7209	962.496	1020.48	1.0	-0.1111	0.0003	0.9938	-9.3692	2.004	-37.2191	0.0	8	1.0	0.0		3878	0	0
1701804735304	t	clothingstore_testcue_lobby_left	0.0	1	0	5.7093	901.152	846.24	1.0	5.7212	962.64	1020.48	1.0	-0.1114	0.0006	0.9938	-9.1072	2.0101	-37.1986	0.0	8	1.0	0.0		3878	0	0
1701804735312	t	clothingstore_testcue_lobby_left	0.0	1	0	5.7095	901.152	846.24	1.0	5.7208	963.0719999999999	1020.48	1.0	-0.1125	0.0007	0.9937	-8.5073	2.0247	-37.1503	0.0	8	1.0	0.0		3878	0	0
1701804735321	t	clothingstore_testcue_lobby_left	0.0	1	0	5.7145	901.296	845.76	1.0	5.7209	963.0719999999999	1020.48	1.0	-0.1124	0.0021	0.9937	-7.5614	2.0457	-37.0789	0.0	8	1.0	0.0		3878	0	0
1701804735329	t	clothingstore_testcue_lobby_left	0.0	1	0	5.724	901.584	845.5999999999999	1.0	5.729	963.504	1020.32	1.0	-0.1129	0.0039	0.9936	-5.9449	2.0816	-36.9575	0.0	8	1.0	0.0		3878	0	0
1701804735337	t	clothingstore_testcue_lobby_left	0.0	1	0	5.7249	901.584	845.5999999999999	1.0	5.7286	963.504	1020.48	1.0	-0.1124	0.004	0.9936	-5.186	2.0985	-36.8972	0.0	8	1.0	0.0		3878	0	0
1701804735346	t	clothingstore_testcue_lobby_left	0.0	1	0	5.7315	901.728	845.28	1.0	5.7317	963.648	1020.1599999999999	1.0	-0.1124	0.0054	0.9936	-4.5791	2.1119	-36.8515	0.0	8	1.0	0.0		3878	0	0
1701804735354	t	clothingstore_testcue_lobby_left	0.0	1	0	5.7365	901.728	845.28	1.0	5.7324	963.936	1019.8399999999999	1.0	-0.1129	0.0061	0.9936	-4.1116	2.1237	-36.8165	0.0	8	1.0	0.0		3878	0	0
1701804735363	t	clothingstore_testcue_lobby_left	0.0	1	0	5.7313	902.016	845.28	1.0	5.7211	964.2239999999999	1019.8399999999999	1.0	-0.1138	0.0058	0.9935	-3.8946	2.1309	-36.7998	0.0	8	1.0	0.0		3878	0	0
1701804735371	t	clothingstore_testcue_lobby_left	0.0	1	0	5.7359	902.016	845.28	1.0	5.7199	964.2239999999999	1020.1599999999999	1.0	-0.1138	0.0052	0.9935	-3.5818	2.1403	-36.7799	0.0	8	1.0	0.0		3878	0	0
1701804735379	t	clothingstore_testcue_lobby_left	0.0	1	0	5.748	902.016	844.96	1.0	5.7203	964.2239999999999	1019.8399999999999	1.0	-0.1139	0.006	0.9935	-3.393	2.1463	-36.7661	0.0	8	1.0	0.0		3878	0	0
1701804735387	t	clothingstore_testcue_lobby_left	0.0	1	0	5.7484	902.016	844.8000000000001	1.0	5.7203	963.936	1019.8399999999999	1.0	-0.1133	0.0061	0.9935	-3.2285	2.1521	-36.7535	0.0	8	1.0	0.0		3878	0	0
1701804735396	t	clothingstore_testcue_lobby_left	0.0	1	0	5.7505	902.16	844.96	1.0	5.7032	964.2239999999999	1019.8399999999999	1.0	-0.114	0.0057	0.9935	-3.1917	2.1534	-36.7505	0.0	8	1.0	0.0		3878	0	0
1701804735404	t	clothingstore_testcue_lobby_left	0.0	1	0	5.7555	902.16	844.96	1.0	5.7035	964.2239999999999	1019.68	1.0	-0.114	0.0059	0.9935	-3.1882	2.1539	-36.7506	0.0	8	1.0	0.0		3878	0	0
1701804735413	t	clothingstore_testcue_lobby_left	0.0	1	0	5.7565	902.16	844.8000000000001	1.0	5.7045	964.2239999999999	1019.2	1.0	-0.1138	0.006	0.9935	-3.5104	2.1529	-36.7845	0.0	8	1.0	0.0		3878	0	0
1701804735421	t	clothingstore_testcue_lobby_left	0.0	1	0	5.7563	902.16	844.8000000000001	1.0	5.6971	963.936	1019.2	1.0	-0.1134	0.0056	0.9935	-3.8172	2.1467	-36.8069	0.0	8	1.0	0.0		3878	0	0
1701804735429	t	clothingstore_testcue_lobby_left	0.0	1	0	5.764	902.16	844.6400000000001	1.0	5.7047	963.936	1019.0400000000001	1.0	-0.1135	0.0057	0.9935	-4.201	2.1389	-36.834	0.0	8	1.0	0.0		3878	0	0
1701804735438	t	clothingstore_testcue_lobby_left	0.0	1	0	5.7644	902.016	844.6400000000001	1.0	5.714	963.648	1018.8800000000001	1.0	-0.1126	0.0058	0.9936	-4.3902	2.1351	-36.8477	0.0	8	1.0	0.0		3878	0	0
1701804735446	t	clothingstore_testcue_lobby_left	0.0	1	0	5.7668	902.016	844.48	1.0	5.7216	963.36	1018.72	1.0	-0.112	0.0058	0.9937	-4.2754	2.1393	-36.8374	0.0	8	1.0	0.0		3878	0	0
1701804735454	t	clothingstore_testcue_lobby_left	0.0	1	0	5.7725	902.016	844.48	1.0	5.7159	963.36	1018.72	1.0	-0.112	0.0057	0.9937	-4.0815	2.1455	-36.8227	0.0	8	1.0	0.0		3878	0	0
1701804735463	t	clothingstore_testcue_lobby_left	0.0	1	0	5.7731	902.016	844.16	1.0	5.7206	963.36	1018.72	1.0	-0.112	0.006	0.9937	-3.7872	2.1547	-36.8001	0.0	8	1.0	0.0		3878	0	0
1701804735471	t	clothingstore_testcue_lobby_left	0.0	1	0	5.7735	901.872	844.16	1.0	5.7207	963.36	1018.5600000000001	1.0	-0.1117	0.0064	0.9937	-3.3252	2.1649	-36.7651	0.0	8	1.0	0.0		3878	0	0
1701804735479	t	clothingstore_testcue_lobby_left	0.0	1	0	5.7737	901.872	843.8399999999999	1.0	5.7215	963.36	1018.4	1.0	-0.1116	0.0078	0.9937	-2.7496	2.1793	-36.7257	0.0	8	1.0	0.0		3878	0	0
1701804735488	t	clothingstore_testcue_lobby_left	0.0	1	0	5.7739	901.296	843.8399999999999	1.0	5.7282	963.36	1018.4	1.0	-0.1104	0.0079	0.9939	-2.5972	2.1828	-36.7141	0.0	8	1.0	0.0		3878	0	0
1701804735496	t	clothingstore_testcue_lobby_left	0.0	1	0	5.7589	901.296	844.16	1.0	5.7291	963.36	1017.76	1.0	-0.1105	0.0081	0.9938	-2.7037	2.1801	-36.7212	0.0	8	1.0	0.0		3878	0	0
1701804735504	t	clothingstore_testcue_lobby_left	0.0	1	0	5.7589	901.296	844.16	1.0	5.7291	963.504	1017.76	1.0	-0.1107	0.0082	0.9938	-2.5324	2.184	-36.7082	0.0	8	1.0	0.0		3878	0	0
1701804735512	t	clothingstore_testcue_lobby_left	0.0	1	0	5.7589	901.296	844.16	1.0	5.8415	965.0880000000001	1017.1200000000001	1.0	-0.1129	0.0079	0.9936	-2.6125	2.1909	-36.714	0.0	8	1.0	0.0		3878	0	0
1701804735521	t	clothingstore_testcue_lobby_left	0.0	1	0	5.8273	900.144	841.6	1.0	5.8048	963.936	1014.24	1.0	-0.1145	0.0112	0.9933	-6.5017	2.1368	-37.0565	0.0	8	1.0	0.0		3878	0	0
1701804735529	t	clothingstore_testcue_lobby_left	0.0	1	0	5.8132	886.464	840.32	1.0	5.6943	951.5520000000001	1006.24	1.0	-0.0968	0.0086	0.9953	-21.5234	1.8575	-38.1505	0.0	8	1.0	0.0		3878	0	0
1701804735537	t	clothingstore_testcue_lobby_left	0.0	1	0	5.8795	860.688	831.3599999999999	1.0	5.4954	935.28	1002.0799999999999	1.0	-0.018	0.0638	0.9978	28.392	2.9571	-34.5398	0.0	8	1.0	0.0		3878	0	0
1701804735546	t	clothingstore_testcue_lobby_left	0.0	1	0	5.1651	831.312	850.7199999999999	1.0	5.5482	909.3599999999999	986.4000000000001	1.0	0.0391	-0.0307	0.9987	22.0662	3.1915	-35.9667	0.0	8	1.0	0.0		3878	0	0
1701804735554	t	clothingstore_testcue_lobby_left	0.0	1	0	5.333	806.112	838.5600000000001	1.0	5.4701	876.816	984.0	1.0	0.0411	-0.0004	0.9991	-22.3478	2.5692	-39.7383	0.0	8	1.0	0.0		3878	0	0
1701804735562	t	clothingstore_testcue_lobby_left	0.0	1	0	-1.0	781.7760000000001	853.76	0.8262	4.2475	836.352	1006.08	0.7541	0.1175	-0.1078	0.9872	-32.7281	2.5103	-40.5839	0.0	8	1.0	0.0		3878	0	0
1701804735571	t	clothingstore_testcue_lobby_left	0.0	1	0	-1.0	760.464	843.52	0.8262	-1.0	821.808	976.4799999999999	0.7541	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	8	1.0	0.0		3878	0	0
1701804735579	t	clothingstore_testcue_lobby_left	0.0	1	0	-1.0	747.36	886.5600000000001	0.5632	-1.0	782.208	980.64	0.5274	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	8	1.0	0.0		3878	0	0
1701804735587	t	clothingstore_testcue_lobby_left	0.0	1	0	-1.0	738.432	904.48	0.5632	-1.0	753.9839999999999	981.6	0.5274	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	8	1.0	0.0		3878	0	0
1701804735594	t	clothingstore_testcue_lobby_left	0.0	1	0	-1.0	-1440.0	-1600.0	0.2744	-1.0	753.408	1012.1600000000001	0.3118	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	8	1.0	0.0		3878	0	0
1701804735601	t	clothingstore_testcue_lobby_left	0.0	1	0	-1.0	-1440.0	-1600.0	0.2744	-1.0	-1440.0	-1600.0	0.3118	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	8	1.0	0.0		3878	0	0
1701804735609	t	clothingstore_testcue_lobby_left	0.0	1	0	-1.0	-1440.0	-1600.0	0.0	-1.0	-1440.0	-1600.0	0.0132	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	8	1.0	0.0		3878	0	0
